"id","speed","travel_time","status","data_as_of","link_id","link_points","encoded_poly_line","encoded_poly_line_lvls","owner","transcom_id","borough","link_name"
"265","35.41","189","0","2026-02-21T11:33:07.000","4620298","40.8462505,-73.932161 40.846951,-73.933641 40.8484204,-73.937041 40.8490306,-73.93994 40.8493804,-73.94181 40.8499005,-73.944651 40.8509,-73.950381 40.85139,-73.95283 40.85186,-73.95525 40.852771,-73.95957 40.85302,-73.96052 40.8531905,-73.96133 40.853280","axhxF~zfbMkCfHeHfTyBbQeAtJgBvPgExb@aBhN}AbNuD~Yq@\\|Da@`DQpCY\\|F","BBBBBBBBBBBBBB","PA-GWBridge","4620298","Manhattan","GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE"
"213","36.03","65","0","2026-02-21T11:33:02.000","4456450","40.80069,-73.92878 40.8013005,-73.930181 40.8014104,-73.93057 40.80143,-73.93084 40.80133,-73.93106 40.8011404,-73.931261 40.80084,-73.931271 40.8006704,-73.93115 40.8005206,-73.930951 40.8001805,-73.930151 40.8705,-73.929931 40.7998905,-73.92972 40.79972","i{_xFzefbMyBvGUlACt@Rj@d@f@z@@`@W\g@bA_DTk@b@i@`@a@n@YhAKjGYp@M`DTtCf@\\|@\xBrA~@z@dBnD","BBBBBBBBBBBBBBBBBBBBBBB","MTA Bridges & Tunnels","4456450","Manhattan","FDR N - TBB E 116TH STREET - MANHATTAN TRUSS"
"124","39.76","179","0","2026-02-21T11:33:00.000","4456501","40.68036,-74.00441001 40.6822,-74.0057201 40.6837,-74.006440 40.68563,-74.00757 40.6941205,-74.01288001 40.7002801,-74.01529001 40.70121,-74.0156 40.703434,-74.0156101 40.70499,-74.01519 40.70609,-74.01468","gkhwFp~tbMoJdGkHnCaK`Fat@d`@oe@`NyD\\|@{L@wHsA{EeB","BBBBBBBBBB","MTA Bridges & Tunnels","4456501","Manhattan","BBT W Toll Plaza - Manhattan Portal"
"364","34.17","160","0","2026-02-21T11:33:00.000","4456511","40.745726,-73.97359 40.745616,-73.97305 40.745616,-73.97264001 40.746054,-73.96949001 40.74586,-73.96844 40.745365,-73.96643 40.74304,-73.96157001 40.74244,-73.95983001 40.742185,-73.95887 40.74143,-73.95491001 40.74136,-73.95378001","wcuwF\\|}nbMTkB?qAwAuRd@qEbBqKnMk]vB{Ir@_EtCwWLaF","BBBBBBBBBBB","NYC_DOT_LIC","4456511","Manhattan","QMT E Manhattan Side - Toll Plaza"
"223","31.68","82","0","2026-02-21T11:27:13.000","4616341","40.70908,-73.9959 40.70895,-73.996941 40.70882,-73.997611 40.70861,-73.99827 40.70841,-73.998731 40.7082204,-73.99911 40.70806,-73.99937","w~mwFjisbMXnEXdCh@bCf@zAd@jA^r@","BBBBBBB","NYC_DOT_LIC","4616341","Manhattan","FDR S Catherine Slip - BKN Bridge Manhattan Side"
"145","3.72","693","0","2026-02-21T11:27:13.000","4616342","40.7081105,-73.99944 40.7084705,-73.99884 40.70868,-73.998331 40.70886,-73.997751 40.709,-73.99702 40.7091405,-73.99594","uxmwFn_tbMgAwBi@eBc@sB[qC[wE","BBBBBB","NYC_DOT_LIC","4616342","Manhattan","BKN Bridge Manhattan Side - FDR N Catherine Slip"
"399","32.31","74","0","2026-02-21T11:27:13.000","4456452","40.8011005,-73.92846 40.80151,-73.93066 40.8014,-73.93111 40.8012304,-73.93129 40.80096,-73.93141 40.8007405,-73.93133 40.800501,-73.93106 40.80026,-73.93057 40.81,-73.93002 40.7997606,-73.92972 40.7994205,-73.929511 40.79901,-73.92945 40.79771,-73.929341","{}_xFzcfbMqAvLTxA`@b@t@Vj@On@u@n@aBp@mBp@{@bAi@pAKbGUjCErBTvBf@dB\\|@rAdAf@v@tAnC","BBBBBBBBBBBBBBBBBBBB","MTA Bridges & Tunnels","4456452","Manhattan","TBB W - FDR S MANHATTAN TRUSS - E116TH STREET"
"217","3.72","2712","0","2026-02-21T11:27:13.000","4616328","40.71141,-73.97866 40.712,-73.97793 40.712661,-73.977511 40.71379,-73.976931 40.7150904,-73.976251 40.7164,-73.9756 40.7172404,-73.975231 40.7182305,-73.97497 40.7200604,-73.97471 40.72158,-73.97453 40.7223506,-73.974331 40.72328,-73.973801 40.72504,-73.9","w~mwFjisbMc@}HkCe^gBoZe@iQe@mJSaBYmA_A{BuBqCcCsAaFsBcGgCeGaCgDiAeEs@mJs@oHc@yCg@yDiB_J{EiFeCyDq@yE]gB?eALiA\eAz@yBdCuBbCcAl@}D`AeDl@kNvBaAF}AMeBc@","BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616328","Manhattan","FDR N Catherine Slip - 25th St"
"215","3.72","1821","0","2026-02-21T11:27:13.000","4616329","40.7369006,-73.974651 40.73868,-73.973391 40.73897,-73.97323 40.73955,-73.97298 40.7415304,-73.97247 40.7423406,-73.97229 40.7428504,-73.97213 40.74338,-73.971871 40.7440804,-73.97141 40.7446706,-73.97103 40.7455605,-73.970301 40.7465204,-73.96929 40.7472","slswFpdobMcJ{Fy@_@sBq@kKeBaDc@eB_@iBs@kC{AuBkAqDqC_EiEyCuCcDaCeT}PuJuIrAhAcE{CaEkDcEkFsEiD}FiEiHoFcAwA}BoD","BBBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616329","Manhattan","FDR N 25th - 63rd St"
"222","31.68","214","0","2026-02-21T11:27:13.000","4616332","40.7606904,-73.956791 40.7601606,-73.95751 40.75941,-73.9582 40.758081,-73.959251 40.75674,-73.96034 40.75594,-73.960941 40.7548505,-73.9623 40.7535,-73.96347 40.7530804,-73.963941 40.7527204,-73.96419 40.75171,-73.96518 40.75041,-73.96625 40.7492,-73.967","iaxwF\\|tkbMhBnCtChChGpEjGxE~CvBxEnGlGhFrA\\|AfAp@hEdEbGtEpF~DzE\\|DvGhFlGhG~CxB\\|EjC~BfA`Dv@zMfBxAd@bChApBrA~DfC","BBBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616332","Manhattan","FDR S 63rd - 25th St"
"221","31.68","319","0","2026-02-21T11:27:13.000","4616333","40.736971,-73.97477 40.73651,-73.975011 40.73595,-73.97506 40.73512,-73.974911 40.734061,-73.974611 40.7327304,-73.974281 40.731711,-73.97403 40.7313705,-73.973851 40.73096,-73.97359 40.73067,-73.97328 40.73019,-73.972671 40.72966,-73.972181 40.72914,-73.","amswFheobMzAn@nBHdD]rE{@hGaAjEq@bAc@pAs@x@}@~AyBhBaBfB{@vBU~ADpBNnCXnB`@zCpAtEdCjE`CxBhAvAl@hC\pCPbDPlDPpDZ\\|B\\\|Cz@fA\XVbGzBpElBfIfDpAz@dBvBl@lAf@dC`@`EVtKXnIj@dKt@vN\\|@tL\\|AvSh@lH","BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616333","Manhattan","FDR S 25th St - Catherine Slip"
